7 Wonders,"deck builder, strategy, family","3,4,5,6,7",2-3,competitive,30-45
7 Wonders Duel,"deck builder, strategy",2,2-3,competitive,30-45
A Little Wordy,"deduction, family, wordy",2,1-2,competitive,15-30
Aeon's End,"deck builder, strategy","2,3,4",2-3,co-op,45-60
Animated,"family, strategy","2,3,4,5",1-2,competitive,30-45
Azul,"strategy, family","2,3,4",1-2,competitive,30-45
Carcassonne,"area control, strategy, family","2,3,4,5",1-2,competitive,30-45
Cascadia,strategy,"2,3,4",1-2,competitive,15-30
CATAN,"strategy, area control, family","2,3,4",2-3,competitive,60-120
Chameleon,"bluffing, family, party","2,3,4,5,6,7+",1-2,competitive,15-30
Chess,strategy,2,2-3,competitive,30-45
Codenames,"deduction, party, family, wordy","2,3,4,5,6,7+",1-2,teams,15-30
Destinies,role-playing,"2,3",2-3,competitive,60-120
Dominion,"deck builder, strategy, family","2,3,4",1-2,competitive,30-45
Doomlings,"luck based, party","2,3,4,5,6",1-2,competitive,15-30
Ecos,"strategy, area control","2,3,4,5,6",2-3,competitive,45-60
Everdell,"strategy, worker placement, family","2,3,4",2-3,competitive,45-60
Exploding Kittens,"luck based, party","2,3,4,5",1-2,competitive,15-30
Flip 7,"luck based, party","2,3,4,5,6",1-2,competitive,15-30
Flourish,"strategy, family","2,3,4",1-2,competitive,30-45
Forbidden Desert,strategy,"2,3,4,5",2-3,co-op,45-60
Hanabi,"deduction, family","2,3,4,5",1-2,co-op,30-45
Happy Little Dinosaurs,"luck based, party","2,3,4",1-2,competitive,30-45
Happy Salmon,party,"2,3,4,5,6,7+",1-2,competitive,15-30
Harry Potter: Hogwarts Battle,"deck builder, strategy","2,3,4",2-3,co-op,45-60
Herd Mentality,"party, family","2,3,4,5,6,7+",1-2,competitive,15-30
Here to Slay,"strategy, luck based","2,3,4,5,6",1-2,competitive,30-45
HISTORY,"trivia, family, party","2,3,4,5,6,7+",1-2,competitive,30-45
Hues and Cues,"party, family","2,3,4,5,6,7+",1-2,competitive,30-45
Legacy of Dragonholt,"role-playing, legacy","1,2,3,4",1-2,co-op,60-120
Legend of the Five Rings,"strategy, bluffing",2,3-4,competitive,45-60
May Contain Butts,"party, luck based","2,3,4,5,6",1-2,competitive,15-30
Mind the Gap,"party, family, trivia","2,3,4,5,6,7+",1-2,competitive,30-45
Minecraft Explorers,family,"2,3,4",1-2,competitive,30-45
Monopoly,"family, luck based","2,3,4,5,6",1-2,competitive,60-120
Monopoly Deal,"strategy, family, luck based","2,3,4,5",1-2,competitive,15-30
Mysterium,"deduction, family","2,3,4,5,6,7",1-2,co-op,45-60
One Night Ultimate Werewolf,"bluffing, party","2,3,4,5,6,7+",1-2,competitive,15-30
Pandemic,strategy,"2,3,4",2-3,co-op,45-60
Pandemic Legacy,"strategy, legacy","2,3,4",2-3,co-op,60-120
Patchwork,"strategy, family",2,1-2,competitive,15-30
Play Nine,"party, family, luck based","2,3,4,5,6",1-2,competitive,30-45
Really Loud Librarians,"party, family","2,3,4,5,6,7+",1-2,competitive,15-30
Red Dragon Inn,strategy,"2,3,4",1-2,competitive,30-45
Scattergories,"party, family, wordy","2,3,4,5,6",1-2,competitive,30-45
Scrabble,"family, strategy, wordy","2,3,4",1-2,competitive,45-60
Scythe,"area control, strategy, worker placement","3,4,5",3-4,competitive,90-120
Sequence,family,"2,3,4,5,6,7+",1-2,competitive,30-45
Sheriff of Nottingham,"bluffing, family, strategy","3,4,5",1-2,competitive,45-60
Spirit Island,"strategy, area control","2,3,4",4-5,co-op,90-120
Splendor,"strategy, family","2,3,4",1-2,competitive,30-45
Takenoko,"strategy, family","2,3,4",1-2,competitive,45-60
Throw Throw Burrito,"party, luck based","2,3,4,5,6",1-2,competitive,15-30
Ticket to Ride,"family, area control, strategy","2,3,4,5",1-2,competitive,45-60
Trekking the National Parks,"family, strategy","2,3,4,5",1-2,competitive,30-60
Trekking the National Parks: Trivia,"family, trivia","2,3,4,5",1-2,competitive,15-30
Uno No Mercy,"luck based, party, family","2,3,4,5,6",1-2,competitive,15-30
Unstable Unicorns,"luck based, family","2,3,4,5,6,7+",1-2,competitive,30-45
Watson & Holmes,deduction,"2,3,4,5,6,7",2-3,competitive,60-120
Wavelength,"party, family","2,3,4,5,6,7+",1-2,teams,30-45
Wingspan,"strategy, family","2,3,4,5",2-3,competitive,45-60
Worlde,"wordy, family, deduction","2,3,4",1-2,competitive,15-30
Yahtzee,"luck based, party, family","2,3,4,5,6",1-2,competitive,15-30
You Lying Sack,"party, bluffing","2,3,4,5,6,7+",1-2,competitive,15-30
